allowedConnectorTypes,disallowedEvseIdPrefixes,concurrentTransaction,idTokenType,language1,language2,realTimeAuth,realTimeAuthUrl,status,chargingPriority,groupAuthorizationId,id,realTimeAuthTimeout,tenantId,tenantPartnerId,personalMessage,additionalInfo,customData,realTimeAuthLastAttempt,cacheExpiryDateTime,createdAt,updatedAt,idToken
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","1","null","1","null","null","null","null","null","null","'2025-10-10T14:39:52.159+00:00'","'2025-10-10T14:39:52.159+00:00'","'6A70EB3C'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","2","null","1","null","null","null","null","null","null","'2025-12-16T16:22:13.805+00:00'","'2025-12-16T16:22:13.805+00:00'","'87D0EE3C'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","3","null","1","null","null","'{\'color\': \'green\',\n\'name\': \'vert\'\n\'customer\': \'Bogaert\'}'","null","null","null","'2026-01-27T17:25:18.5+00:00'","'2026-01-27T17:25:18.5+00:00'","'A972852F'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","4","null","1","null","null","{'color': 'unknown',
'name': '00 32 12 80',
'customer': 'Bogaert'}","null","null","null","'2026-01-27T17:27:06.54+00:00'","'2026-01-27T17:27:06.54+00:00'","'00321280'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","5","null","1","null","null","{'color': 'red',
'name': 'Rouge',
'customer': 'Bogaert'}","null","null","null","'2026-01-27T17:28:00.226+00:00'","'2026-01-27T17:28:00.226+00:00'","'5BD22345'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","6","null","1","null","null","{'color': 'black',
'name': 'Noir',
'customer': 'Bogaert'}","null","null","null","'2026-01-27T17:28:40.041+00:00'","'2026-01-27T17:28:40.041+00:00'","'5BB56945'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","9","null","1","null","null","{'color': 'yellow',
'name': 'Jaune',
'customer': 'Bogaert'}","null","null","null","'2026-01-27T17:30:37.824+00:00'","'2026-01-27T17:30:37.824+00:00'","'5BA11B45'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","10","null","1","null","null","{'color': 'blue',
'name': 'Bleu-2',
'customer': 'Bogaert'}","null","null","null","'2026-01-27T17:31:44.052+00:00'","'2026-01-27T17:31:44.052+00:00'","'6B56F445'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","11","null","1","null","null","{'color': 'black',
'name': 'Noir-2',
'customer': 'Bogaert'}","null","null","null","'2026-01-27T17:32:26.265+00:00'","'2026-01-27T17:32:26.265+00:00'","'5BD6845'"
"null","null","false","'ISO14443'","null","null","'Never'","null","'Accepted'","null","null","12","null","1","null","null","null","null","null","null","'2026-02-09T10:38:48.109+00:00'","'2026-02-09T10:38:48.109+00:00'","'B4EB7751'"
