authorizationId,id,tenantId,createdAt,updatedAt
"19","1","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"20","2","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"24","3","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"25","4","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"84","5","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"85","6","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"39","8","8","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"100","10","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"101","11","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"86","13","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"54","14","8","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"69","15","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"64","16","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"53","17","7","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"55","18","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"73","19","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"60","20","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"65","21","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"66","22","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"67","23","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"72","24","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-13T09:52:30.929765+00:00'"
"108","26","1","'2026-05-18T09:26:28.252516+00:00'","'2025-04-04T00:00:00+00:00'"
"109","27","1","'2026-05-18T10:01:44.04355+00:00'","'2026-05-18T12:04:15.233221+00:00'"
"18","7","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-18T13:31:07.460966+00:00'"
"42","12","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-18T15:10:56.389209+00:00'"
"142","60","1","'2026-05-18T15:20:30.856734+00:00'","'2026-05-18T15:20:57.59123+00:00'"
"146","64","1","'2026-05-19T09:53:41.706692+00:00'","'2026-05-19T09:53:41.681441+00:00'"
"129","47","1","'2026-05-18T12:32:06.318901+00:00'","'2026-05-19T12:05:16.953669+00:00'"
"41","9","1","'2026-05-13T09:52:30.929765+00:00'","'2026-05-19T12:05:21.842724+00:00'"
"152","70","1","'2026-05-19T16:01:35.045361+00:00'","'2026-05-19T16:01:35.004986+00:00'"
